,method,psnr,ssim,image,sigma
3,noisy_blurred,21.84743129493013,0.5523773741024648,Peppers,80.0
0,noisy,11.013482792521527,0.06703681483284195,Peppers,90.0
1,tensor_train_stacked,20.013152491537916,0.4643394662561557,Peppers,90.0
2,tensor_train_stacked_upscale,20.063229331538338,0.47549143836688607,Peppers,90.0
3,noisy_blurred,21.075173919188373,0.5326143016485657,Peppers,90.0
0,noisy,10.397748309985229,0.05819482936760173,Peppers,100.0
1,tensor_train_stacked,19.482277276688155,0.45160637024371014,Peppers,100.0
2,tensor_train_stacked_upscale,19.523714548963007,0.4639707690728128,Peppers,100.0
3,noisy_blurred,20.32600314891266,0.510862902241718,Peppers,100.0
0,noisy,28.19418826895721,0.5257374959407494,Splash,10.0
1,tensor_train_stacked,19.679931534529345,0.7006692822278975,Splash,10.0
2,tensor_train_stacked_upscale,21.003231752731146,0.6966139067190257,Splash,10.0
3,noisy_blurred,27.472928441048303,0.81337506326046,Splash,10.0
0,noisy,22.342670907410845,0.2642811563276101,Splash,20.0
1,tensor_train_stacked,21.376406414826782,0.6949398477412841,Splash,20.0
2,tensor_train_stacked_upscale,22.738520046587233,0.6992870343554234,Splash,20.0
3,noisy_blurred,27.235057277950595,0.7946825503159413,Splash,20.0
0,noisy,19.08632243806954,0.16777162472126114,Splash,30.0
1,tensor_train_stacked,22.28989770085384,0.6884194138795262,Splash,30.0
2,tensor_train_stacked_upscale,23.570315011449125,0.6974401667642541,Splash,30.0
3,noisy_blurred,26.823589376404016,0.7715691092843938,Splash,30.0
0,noisy,16.90584878399382,0.12108822248023031,Splash,40.0
1,tensor_train_stacked,23.08768474064052,0.6767341055901367,Splash,40.0
2,tensor_train_stacked_upscale,24.251422182359185,0.6900720617592421,Splash,40.0
3,noisy_blurred,26.23560006963983,0.7461279573886223,Splash,40.0
0,noisy,15.267720164548813,0.09310512752449991,Splash,50.0
1,tensor_train_stacked,23.482540430251685,0.6654816474725687,Splash,50.0
2,tensor_train_stacked_upscale,24.2762056305882,0.6817396501950688,Splash,50.0
3,noisy_blurred,25.442334938270314,0.7191222866198655,Splash,50.0
0,noisy,13.960499036862938,0.0752397974751482,Splash,60.0
